dataset_id,source_row,source_column,cell_text,resolved_text,cell_type,is_merged,merged_range
dataset_efc0d125c2b2d97c0c92652e,15,1,其 他,其 他,text,False,
dataset_efc0d125c2b2d97c0c92652e,15,2,955471,955471,text,False,
dataset_efc0d125c2b2d97c0c92652e,15,3,18.85,18.85,text,False,
dataset_efc0d125c2b2d97c0c92652e,16,1,,,blank,False,
dataset_efc0d125c2b2d97c0c92652e,16,2,,,blank,False,
dataset_efc0d125c2b2d97c0c92652e,16,3,,,blank,False,
dataset_efc0d125c2b2d97c0c92652e,17,1,"注:2018年破获当年的刑事案件1922011起,破案率37.92%。","注:2018年破获当年的刑事案件1922011起,破案率37.92%。",text,False,
dataset_efc0d125c2b2d97c0c92652e,17,2,,,blank,False,
dataset_efc0d125c2b2d97c0c92652e,17,3,,,blank,False,
dataset_0bd4a85bf959134ccfa1d5bb,1,1,表1 2018年全国法院审理各类 案件情况统计表,表1 2018年全国法院审理各类 案件情况统计表,text,False,
dataset_0bd4a85bf959134ccfa1d5bb,1,2,,,blank,False,
dataset_0bd4a85bf959134ccfa1d5bb,1,3,,,blank,False,
dataset_0bd4a85bf959134ccfa1d5bb,1,4,,,blank,False,
dataset_0bd4a85bf959134ccfa1d5bb,2,1,(单位:件),(单位:件),text,False,
dataset_0bd4a85bf959134ccfa1d5bb,2,2,,,blank,False,
dataset_0bd4a85bf959134ccfa1d5bb,2,3,,,blank,False,
dataset_0bd4a85bf959134ccfa1d5bb,2,4,,,blank,False,
dataset_0bd4a85bf959134ccfa1d5bb,3,1,案件情况,案件情况,text,False,
dataset_0bd4a85bf959134ccfa1d5bb,3,2,收 案,收 案,text,False,
dataset_0bd4a85bf959134ccfa1d5bb,3,3,结 案,结 案,text,False,
dataset_0bd4a85bf959134ccfa1d5bb,3,4,未 结,未 结,text,False,
dataset_0bd4a85bf959134ccfa1d5bb,4,1,总计,总计,text,False,
dataset_0bd4a85bf959134ccfa1d5bb,4,2,25054233,25054233,text,False,
dataset_0bd4a85bf959134ccfa1d5bb,4,3,25168463,25168463,text,False,
dataset_0bd4a85bf959134ccfa1d5bb,4,4,2831788,2831788,text,False,
dataset_f4cfc5945e70100ba3e6ea62,1,1,表1 中华人民共和国行政区划统计表,表1 中华人民共和国行政区划统计表,text,False,
dataset_f4cfc5945e70100ba3e6ea62,1,2,,,blank,False,
dataset_f4cfc5945e70100ba3e6ea62,1,3,,,blank,False,
dataset_f4cfc5945e70100ba3e6ea62,1,4,,,blank,False,
dataset_f4cfc5945e70100ba3e6ea62,1,5,,,blank,False,
dataset_f4cfc5945e70100ba3e6ea62,1,6,,,blank,False,
dataset_f4cfc5945e70100ba3e6ea62,1,7,,,blank,False,
dataset_f4cfc5945e70100ba3e6ea62,1,8,,,blank,False,
dataset_f4cfc5945e70100ba3e6ea62,1,9,,,blank,False,
dataset_f4cfc5945e70100ba3e6ea62,1,10,,,blank,False,
dataset_f4cfc5945e70100ba3e6ea62,2,1,(截至2018年12月31日),(截至2018年12月31日),text,False,
dataset_f4cfc5945e70100ba3e6ea62,2,2,,,blank,False,
dataset_f4cfc5945e70100ba3e6ea62,2,3,,,blank,False,
dataset_f4cfc5945e70100ba3e6ea62,2,4,,,blank,False,
dataset_f4cfc5945e70100ba3e6ea62,2,5,,,blank,False,
dataset_f4cfc5945e70100ba3e6ea62,2,6,,,blank,False,
dataset_f4cfc5945e70100ba3e6ea62,2,7,,,blank,False,
dataset_f4cfc5945e70100ba3e6ea62,2,8,,,blank,False,
dataset_f4cfc5945e70100ba3e6ea62,2,9,,,blank,False,
dataset_f4cfc5945e70100ba3e6ea62,2,10,,,blank,False,
dataset_f4cfc5945e70100ba3e6ea62,3,1,省 级,省 级,text,True,$A$3:$B$3
dataset_f4cfc5945e70100ba3e6ea62,3,2,,省 级,blank,True,$A$3:$B$3
dataset_f4cfc5945e70100ba3e6ea62,3,3,地 级,地 级,text,True,$C$3:$D$3
dataset_f4cfc5945e70100ba3e6ea62,3,4,,地 级,blank,True,$C$3:$D$3
dataset_f4cfc5945e70100ba3e6ea62,3,5,县 级,县 级,text,True,$E$3:$F$3
dataset_f4cfc5945e70100ba3e6ea62,3,6,,县 级,blank,True,$E$3:$F$3
dataset_f4cfc5945e70100ba3e6ea62,3,7,乡 级,乡 级,text,True,$G$3:$H$3
dataset_f4cfc5945e70100ba3e6ea62,3,8,,乡 级,blank,True,$G$3:$H$3
dataset_f4cfc5945e70100ba3e6ea62,3,9,人口 (万人),人口 (万人),text,True,$I$3:$I$4
dataset_f4cfc5945e70100ba3e6ea62,3,10,面积 (万平方千米),面积 (万平方千米),text,True,$J$3:$J$4
dataset_f4cfc5945e70100ba3e6ea62,4,1,合计,合计,text,False,
dataset_f4cfc5945e70100ba3e6ea62,4,2,行政区划单位,行政区划单位,text,False,
dataset_f4cfc5945e70100ba3e6ea62,4,3,合计,合计,text,False,
dataset_f4cfc5945e70100ba3e6ea62,4,4,行政区划单位,行政区划单位,text,False,
dataset_f4cfc5945e70100ba3e6ea62,4,5,合计,合计,text,False,
dataset_f4cfc5945e70100ba3e6ea62,4,6,行政区划单位,行政区划单位,text,False,
dataset_f4cfc5945e70100ba3e6ea62,4,7,合计,合计,text,False,
dataset_f4cfc5945e70100ba3e6ea62,4,8,行政区划单位,行政区划单位,text,False,
dataset_f4cfc5945e70100ba3e6ea62,4,9,,人口 (万人),blank,True,$I$3:$I$4
dataset_f4cfc5945e70100ba3e6ea62,4,10,,面积 (万平方千米),blank,True,$J$3:$J$4
dataset_f4cfc5945e70100ba3e6ea62,5,1,34,34,text,False,
dataset_f4cfc5945e70100ba3e6ea62,5,2,4直辖市 23 省 5自治区 2特别行政区,4直辖市 23 省 5自治区 2特别行政区,text,False,
dataset_f4cfc5945e70100ba3e6ea62,5,3,334,334,text,False,
dataset_f4cfc5945e70100ba3e6ea62,5,4,293地级市 7 地区 30自治州 3 盟,293地级市 7 地区 30自治州 3 盟,text,False,
dataset_f4cfc5945e70100ba3e6ea62,5,5,2851,2851,text,False,
dataset_f4cfc5945e70100ba3e6ea62,5,6,970市辖区 375县级市 1 335 县 117自治县 49 旗 3自治旗 1特 区 1林 区,970市辖区 375县级市 1 335 县 117自治县 49 旗 3自治旗 1特 区 1林 区,text,False,
dataset_f4cfc5945e70100ba3e6ea62,5,7,39945,39945,text,False,
dataset_f4cfc5945e70100ba3e6ea62,5,8,2区公所 21 297 镇 9 118 乡 153苏木 981民族乡 1民族苏木 8 393街道,2区公所 21 297 镇 9 118 乡 153苏木 981民族乡 1民族苏木 8 393街道,text,False,
dataset_f4cfc5945e70100ba3e6ea62,5,9,,,blank,False,
dataset_f4cfc5945e70100ba3e6ea62,5,10,,,blank,False,
dataset_f4cfc5945e70100ba3e6ea62,6,1,北 京市,北 京市,text,True,$A$6:$B$6
dataset_f4cfc5945e70100ba3e6ea62,6,2,,北 京市,blank,True,$A$6:$B$6
dataset_f4cfc5945e70100ba3e6ea62,6,3,,,blank,False,
dataset_f4cfc5945e70100ba3e6ea62,6,4,,,blank,False,
dataset_f4cfc5945e70100ba3e6ea62,6,5,16,16,text,False,
dataset_f4cfc5945e70100ba3e6ea62,6,6,16市辖区,16市辖区,text,False,
dataset_f4cfc5945e70100ba3e6ea62,6,7,333,333,text,False,
dataset_f4cfc5945e70100ba3e6ea62,6,8,143镇 33乡 5民族乡 152街道,143镇 33乡 5民族乡 152街道,text,False,
dataset_f4cfc5945e70100ba3e6ea62,6,9,1300,1300,text,False,
dataset_f4cfc5945e70100ba3e6ea62,6,10,约1.7,约1.7,text,False,
dataset_f4cfc5945e70100ba3e6ea62,7,1,天 津市,天 津市,text,True,$A$7:$B$7
dataset_f4cfc5945e70100ba3e6ea62,7,2,,天 津市,blank,True,$A$7:$B$7
dataset_f4cfc5945e70100ba3e6ea62,7,3,,,blank,False,
dataset_f4cfc5945e70100ba3e6ea62,7,4,,,blank,False,
dataset_f4cfc5945e70100ba3e6ea62,7,5,16,16,text,False,
dataset_f4cfc5945e70100ba3e6ea62,7,6,16市辖区,16市辖区,text,False,
dataset_f4cfc5945e70100ba3e6ea62,7,7,249,249,text,False,
dataset_f4cfc5945e70100ba3e6ea62,7,8,126镇 2乡 1民族乡 120街道,126镇 2乡 1民族乡 120街道,text,False,
dataset_f4cfc5945e70100ba3e6ea62,7,9,996,996,text,False,
dataset_f4cfc5945e70100ba3e6ea62,7,10,约1.2,约1.2,text,False,
dataset_f4cfc5945e70100ba3e6ea62,8,1,河北 省,河北 省,text,True,$A$8:$B$8
dataset_f4cfc5945e70100ba3e6ea62,8,2,,河北 省,blank,True,$A$8:$B$8
dataset_f4cfc5945e70100ba3e6ea62,8,3,11,11,text,False,
dataset_f4cfc5945e70100ba3e6ea62,8,4,11地级市,11地级市,text,False,
dataset_f4cfc5945e70100ba3e6ea62,8,5,168,168,text,False,
dataset_f4cfc5945e70100ba3e6ea62,8,6,47市辖区 21县级市 94 县 6自治县,47市辖区 21县级市 94 县 6自治县,text,False,
dataset_f4cfc5945e70100ba3e6ea62,8,7,2255,2255,text,False,
dataset_f4cfc5945e70100ba3e6ea62,8,8,1区公所 1 156 镇 744乡 46民族乡 308街道,1区公所 1 156 镇 744乡 46民族乡 308街道,text,False,
dataset_f4cfc5945e70100ba3e6ea62,8,9,7520,7520,text,False,
dataset_f4cfc5945e70100ba3e6ea62,8,10,约19,约19,text,False,
dataset_f4cfc5945e70100ba3e6ea62,9,1,山 西 省,山 西 省,text,True,$A$9:$B$9
dataset_f4cfc5945e70100ba3e6ea62,9,2,,山 西 省,blank,True,$A$9:$B$9
dataset_f4cfc5945e70100ba3e6ea62,9,3,11,11,text,False,
dataset_f4cfc5945e70100ba3e6ea62,9,4,11地级市,11地级市,text,False,
dataset_f4cfc5945e70100ba3e6ea62,9,5,117,117,text,False,
dataset_f4cfc5945e70100ba3e6ea62,9,6,25市辖区 11县级市 81 县,25市辖区 11县级市 81 县,text,False,
dataset_f4cfc5945e70100ba3e6ea62,9,7,1398,1398,text,False,
dataset_f4cfc5945e70100ba3e6ea62,9,8,564镇 632乡 202街道,564镇 632乡 202街道,text,False,
dataset_f4cfc5945e70100ba3e6ea62,9,9,3501,3501,text,False,
dataset_f4cfc5945e70100ba3e6ea62,9,10,约16,约16,text,False,
dataset_f4cfc5945e70100ba3e6ea62,10,1,内蒙古自治区,内蒙古自治区,text,True,$A$10:$B$10
dataset_f4cfc5945e70100ba3e6ea62,10,2,,内蒙古自治区,blank,True,$A$10:$B$10
dataset_f4cfc5945e70100ba3e6ea62,10,3,12,12,text,False,
dataset_f4cfc5945e70100ba3e6ea62,10,4,9地级市 3 盟,9地级市 3 盟,text,False,
dataset_f4cfc5945e70100ba3e6ea62,10,5,103,103,text,False,
dataset_f4cfc5945e70100ba3e6ea62,10,6,23市辖区 11县级市 17 县 49 旗 3自治旗,23市辖区 11县级市 17 县 49 旗 3自治旗,text,False,
dataset_f4cfc5945e70100ba3e6ea62,10,7,1024,1024,text,False,
dataset_f4cfc5945e70100ba3e6ea62,10,8,508镇 99乡 153苏木 17民族乡 1民族苏木 246街道,508镇 99乡 153苏木 17民族乡 1民族苏木 246街道,text,False,
dataset_f4cfc5945e70100ba3e6ea62,10,9,2460,2460,text,False,
dataset_f4cfc5945e70100ba3e6ea62,10,10,约118,约118,text,False,
dataset_f4cfc5945e70100ba3e6ea62,11,1,辽 宁 省,辽 宁 省,text,True,$A$11:$B$11
dataset_f4cfc5945e70100ba3e6ea62,11,2,,辽 宁 省,blank,True,$A$11:$B$11
dataset_f4cfc5945e70100ba3e6ea62,11,3,14,14,text,False,
dataset_f4cfc5945e70100ba3e6ea62,11,4,14地级市,14地级市,text,False,
dataset_f4cfc5945e70100ba3e6ea62,11,5,100,100,text,False,
dataset_f4cfc5945e70100ba3e6ea62,11,6,59市辖区 16县级市 17 县 8自治县,59市辖区 16县级市 17 县 8自治县,text,False,
dataset_f4cfc5945e70100ba3e6ea62,11,7,1531,1531,text,False,
dataset_f4cfc5945e70100ba3e6ea62,11,8,640镇 147乡 54民族乡 690街道,640镇 147乡 54民族乡 690街道,text,False,
dataset_f4cfc5945e70100ba3e6ea62,11,9,4245,4245,text,False,
dataset_f4cfc5945e70100ba3e6ea62,11,10,约15,约15,text,False,
dataset_f4cfc5945e70100ba3e6ea62,12,1,吉林省,吉林省,text,True,$A$12:$B$12
dataset_f4cfc5945e70100ba3e6ea62,12,2,,吉林省,blank,True,$A$12:$B$12
dataset_f4cfc5945e70100ba3e6ea62,12,3,9,9,text,False,
dataset_f4cfc5945e70100ba3e6ea62,12,4,8地级市 1自治州,8地级市 1自治州,text,False,
dataset_f4cfc5945e70100ba3e6ea62,12,5,60,60,text,False,
dataset_f4cfc5945e70100ba3e6ea62,12,6,21市辖区 20县级市 16 县 3自治县,21市辖区 20县级市 16 县 3自治县,text,False,
dataset_f4cfc5945e70100ba3e6ea62,12,7,933,933,text,False,
dataset_f4cfc5945e70100ba3e6ea62,12,8,426镇 154乡 28民族乡 325街道,426镇 154乡 28民族乡 325街道,text,False,
dataset_f4cfc5945e70100ba3e6ea62,12,9,2702,2702,text,False,
dataset_f4cfc5945e70100ba3e6ea62,12,10,约19,约19,text,False,
dataset_f4cfc5945e70100ba3e6ea62,13,1,,,blank,False,
dataset_f4cfc5945e70100ba3e6ea62,13,2,,,blank,False,
dataset_f4cfc5945e70100ba3e6ea62,13,3,,,blank,False,
dataset_f4cfc5945e70100ba3e6ea62,13,4,,,blank,False,
dataset_f4cfc5945e70100ba3e6ea62,13,5,,,blank,False,
dataset_f4cfc5945e70100ba3e6ea62,13,6,,,blank,False,
dataset_f4cfc5945e70100ba3e6ea62,13,7,,,blank,False,
dataset_f4cfc5945e70100ba3e6ea62,13,8,,,blank,False,
dataset_f4cfc5945e70100ba3e6ea62,13,9,,,blank,False,
dataset_f4cfc5945e70100ba3e6ea62,13,10,,,blank,False,
dataset_f4cfc5945e70100ba3e6ea62,14,1,,,blank,False,
dataset_f4cfc5945e70100ba3e6ea62,14,2,,,blank,False,
dataset_f4cfc5945e70100ba3e6ea62,14,3,,,blank,False,
dataset_f4cfc5945e70100ba3e6ea62,14,4,,,blank,False,
dataset_f4cfc5945e70100ba3e6ea62,14,5,,,blank,False,
dataset_f4cfc5945e70100ba3e6ea62,14,6,,,blank,False,
dataset_f4cfc5945e70100ba3e6ea62,14,7,,,blank,False,
dataset_f4cfc5945e70100ba3e6ea62,14,8,,,blank,False,
dataset_f4cfc5945e70100ba3e6ea62,14,9,,,blank,False,
dataset_f4cfc5945e70100ba3e6ea62,14,10,,,blank,False,
dataset_f4cfc5945e70100ba3e6ea62,15,1,(续),(续),text,False,
dataset_f4cfc5945e70100ba3e6ea62,15,2,,,blank,False,
dataset_f4cfc5945e70100ba3e6ea62,15,3,,,blank,False,
dataset_f4cfc5945e70100ba3e6ea62,15,4,,,blank,False,
dataset_f4cfc5945e70100ba3e6ea62,15,5,,,blank,False,
dataset_f4cfc5945e70100ba3e6ea62,15,6,,,blank,False,
dataset_f4cfc5945e70100ba3e6ea62,15,7,,,blank,False,
dataset_f4cfc5945e70100ba3e6ea62,15,8,,,blank,False,
dataset_f4cfc5945e70100ba3e6ea62,15,9,,,blank,False,
dataset_f4cfc5945e70100ba3e6ea62,15,10,,,blank,False,
dataset_f4cfc5945e70100ba3e6ea62,16,1,省 级,省 级,text,True,$A$16:$B$16
dataset_f4cfc5945e70100ba3e6ea62,16,2,,省 级,blank,True,$A$16:$B$16
dataset_f4cfc5945e70100ba3e6ea62,16,3,地 级,地 级,text,True,$C$16:$D$16
dataset_f4cfc5945e70100ba3e6ea62,16,4,,地 级,blank,True,$C$16:$D$16
dataset_f4cfc5945e70100ba3e6ea62,16,5,县 级,县 级,text,True,$E$16:$F$16
dataset_f4cfc5945e70100ba3e6ea62,16,6,,县 级,blank,True,$E$16:$F$16
dataset_f4cfc5945e70100ba3e6ea62,16,7,乡 级,乡 级,text,True,$G$16:$H$16
dataset_f4cfc5945e70100ba3e6ea62,16,8,,乡 级,blank,True,$G$16:$H$16
dataset_f4cfc5945e70100ba3e6ea62,16,9,人口 (万人),人口 (万人),text,True,$I$16:$I$17
dataset_f4cfc5945e70100ba3e6ea62,16,10,面积 (万平方千米),面积 (万平方千米),text,True,$J$16:$J$17
dataset_f4cfc5945e70100ba3e6ea62,17,1,合计,合计,text,False,
dataset_f4cfc5945e70100ba3e6ea62,17,2,行政区划单位,行政区划单位,text,False,
dataset_f4cfc5945e70100ba3e6ea62,17,3,合计,合计,text,False,
dataset_f4cfc5945e70100ba3e6ea62,17,4,行政区划单位,行政区划单位,text,False,
dataset_f4cfc5945e70100ba3e6ea62,17,5,合计,合计,text,False,
dataset_f4cfc5945e70100ba3e6ea62,17,6,行政区划单位,行政区划单位,text,False,
dataset_f4cfc5945e70100ba3e6ea62,17,7,合计,合计,text,False,
dataset_f4cfc5945e70100ba3e6ea62,17,8,行政区划单位,行政区划单位,text,False,
dataset_f4cfc5945e70100ba3e6ea62,17,9,,人口 (万人),blank,True,$I$16:$I$17
dataset_f4cfc5945e70100ba3e6ea62,17,10,,面积 (万平方千米),blank,True,$J$16:$J$17
dataset_f4cfc5945e70100ba3e6ea62,18,1,黑龙江省,黑龙江省,text,True,$A$18:$B$18
dataset_f4cfc5945e70100ba3e6ea62,18,2,,黑龙江省,blank,True,$A$18:$B$18
dataset_f4cfc5945e70100ba3e6ea62,18,3,13,13,text,False,
dataset_f4cfc5945e70100ba3e6ea62,18,4,12地级市 1地 区,12地级市 1地 区,text,False,
dataset_f4cfc5945e70100ba3e6ea62,18,5,128,128,text,False,
dataset_f4cfc5945e70100ba3e6ea62,18,6,65市辖区 20县级市 42 县 1自治县,65市辖区 20县级市 42 县 1自治县,text,False,
dataset_f4cfc5945e70100ba3e6ea62,18,7,1196,1196,text,False,
dataset_f4cfc5945e70100ba3e6ea62,18,8,541镇 295乡 52民族乡 308街道,541镇 295乡 52民族乡 308街道,text,False,
dataset_f4cfc5945e70100ba3e6ea62,18,9,3811,3811,text,False,
dataset_f4cfc5945e70100ba3e6ea62,18,10,约46,约46,text,False,
dataset_f4cfc5945e70100ba3e6ea62,19,1,上 海 市,上 海 市,text,True,$A$19:$B$19
dataset_f4cfc5945e70100ba3e6ea62,19,2,,上 海 市,blank,True,$A$19:$B$19
dataset_f4cfc5945e70100ba3e6ea62,19,3,,,blank,False,
dataset_f4cfc5945e70100ba3e6ea62,19,4,,,blank,False,
dataset_f4cfc5945e70100ba3e6ea62,19,5,16,16,text,False,
dataset_f4cfc5945e70100ba3e6ea62,19,6,16市辖区,16市辖区,text,False,
dataset_f4cfc5945e70100ba3e6ea62,19,7,214,214,text,False,
dataset_f4cfc5945e70100ba3e6ea62,19,8,107镇 2乡 105街道,107镇 2乡 105街道,text,False,
dataset_f4cfc5945e70100ba3e6ea62,19,9,1440,1440,text,False,
dataset_f4cfc5945e70100ba3e6ea62,19,10,约 0.634,约 0.634,text,False,
dataset_f4cfc5945e70100ba3e6ea62,20,1,江 苏 省,江 苏 省,text,True,$A$20:$B$20
dataset_f4cfc5945e70100ba3e6ea62,20,2,,江 苏 省,blank,True,$A$20:$B$20
dataset_f4cfc5945e70100ba3e6ea62,20,3,13,13,text,False,
dataset_f4cfc5945e70100ba3e6ea62,20,4,13地级市,13地级市,text,False,
dataset_f4cfc5945e70100ba3e6ea62,20,5,96,96,text,False,
dataset_f4cfc5945e70100ba3e6ea62,20,6,55市辖区 21县级市 19 县,55市辖区 21县级市 19 县,text,False,
dataset_f4cfc5945e70100ba3e6ea62,20,7,1258,1258,text,False,
dataset_f4cfc5945e70100ba3e6ea62,20,8,723镇 43乡 1民族乡 491街道,723镇 43乡 1民族乡 491街道,text,False,
dataset_f4cfc5945e70100ba3e6ea62,20,9,7649,7649,text,False,
dataset_f4cfc5945e70100ba3e6ea62,20,10,约10,约10,text,False,
dataset_f4cfc5945e70100ba3e6ea62,21,1,浙 江 省,浙 江 省,text,True,$A$21:$B$21
dataset_f4cfc5945e70100ba3e6ea62,21,2,,浙 江 省,blank,True,$A$21:$B$21
dataset_f4cfc5945e70100ba3e6ea62,21,3,11,11,text,False,
dataset_f4cfc5945e70100ba3e6ea62,21,4,11地级市,11地级市,text,False,
dataset_f4cfc5945e70100ba3e6ea62,21,5,89,89,text,False,
dataset_f4cfc5945e70100ba3e6ea62,21,6,37市辖区 19县级市 32 县 1自治县,37市辖区 19县级市 32 县 1自治县,text,False,
dataset_f4cfc5945e70100ba3e6ea62,21,7,1375,1375,text,False,
dataset_f4cfc5945e70100ba3e6ea62,21,8,639镇 255乡 14民族乡 467街道,639镇 255乡 14民族乡 467街道,text,False,
dataset_f4cfc5945e70100ba3e6ea62,21,9,4798,4798,text,False,
dataset_f4cfc5945e70100ba3e6ea62,21,10,约10,约10,text,False,
dataset_f4cfc5945e70100ba3e6ea62,22,1,安徽省,安徽省,text,True,$A$22:$B$22
dataset_f4cfc5945e70100ba3e6ea62,22,2,,安徽省,blank,True,$A$22:$B$22
dataset_f4cfc5945e70100ba3e6ea62,22,3,16,16,text,False,
dataset_f4cfc5945e70100ba3e6ea62,22,4,16地级市,16地级市,text,False,
dataset_f4cfc5945e70100ba3e6ea62,22,5,105,105,text,False,
dataset_f4cfc5945e70100ba3e6ea62,22,6,44市辖区 7县级市 54 县,44市辖区 7县级市 54 县,text,False,
dataset_f4cfc5945e70100ba3e6ea62,22,7,1488,1488,text,False,
dataset_f4cfc5945e70100ba3e6ea62,22,8,968镇 262乡 9民族乡 249街道,968镇 262乡 9民族乡 249街道,text,False,
dataset_f4cfc5945e70100ba3e6ea62,22,9,6905,6905,text,False,
dataset_f4cfc5945e70100ba3e6ea62,22,10,约14,约14,text,False,
dataset_f4cfc5945e70100ba3e6ea62,23,1,福 建 省,福 建 省,text,True,$A$23:$B$23
dataset_f4cfc5945e70100ba3e6ea62,23,2,,福 建 省,blank,True,$A$23:$B$23
dataset_f4cfc5945e70100ba3e6ea62,23,3,9,9,text,False,
dataset_f4cfc5945e70100ba3e6ea62,23,4,9地级市,9地级市,text,False,
dataset_f4cfc5945e70100ba3e6ea62,23,5,85,85,text,False,
dataset_f4cfc5945e70100ba3e6ea62,23,6,29市辖区 12县级市 44 县,29市辖区 12县级市 44 县,text,False,
dataset_f4cfc5945e70100ba3e6ea62,23,7,1106,1106,text,False,
dataset_f4cfc5945e70100ba3e6ea62,23,8,651镇 253乡 19民族乡 183街道,651镇 253乡 19民族乡 183街道,text,False,
dataset_f4cfc5945e70100ba3e6ea62,23,9,3579,3579,text,False,
dataset_f4cfc5945e70100ba3e6ea62,23,10,约12,约12,text,False,
dataset_f4cfc5945e70100ba3e6ea62,24,1,江西 省,江西 省,text,True,$A$24:$B$24
dataset_f4cfc5945e70100ba3e6ea62,24,2,,江西 省,blank,True,$A$24:$B$24
dataset_f4cfc5945e70100ba3e6ea62,24,3,11,11,text,False,
dataset_f4cfc5945e70100ba3e6ea62,24,4,11地级市,11地级市,text,False,
dataset_f4cfc5945e70100ba3e6ea62,24,5,100,100,text,False,
dataset_f4cfc5945e70100ba3e6ea62,24,6,26市辖区 11县级市 63 县,26市辖区 11县级市 63 县,text,False,
dataset_f4cfc5945e70100ba3e6ea62,24,7,1567,1567,text,False,
dataset_f4cfc5945e70100ba3e6ea62,24,8,827镇 570乡 8民族乡 162街道,827镇 570乡 8民族乡 162街道,text,False,
dataset_f4cfc5945e70100ba3e6ea62,24,9,4804,4804,text,False,
dataset_f4cfc5945e70100ba3e6ea62,24,10,约17,约17,text,False,
dataset_f4cfc5945e70100ba3e6ea62,25,1,山 东 省,山 东 省,text,True,$A$25:$B$25
dataset_f4cfc5945e70100ba3e6ea62,25,2,,山 东 省,blank,True,$A$25:$B$25
dataset_f4cfc5945e70100ba3e6ea62,25,3,16,16,text,False,
dataset_f4cfc5945e70100ba3e6ea62,25,4,16地级市,16地级市,text,False,
dataset_f4cfc5945e70100ba3e6ea62,25,5,137,137,text,False,
dataset_f4cfc5945e70100ba3e6ea62,25,6,56市辖区 27县级市 54 县,56市辖区 27县级市 54 县,text,False,
dataset_f4cfc5945e70100ba3e6ea62,25,7,1824,1824,text,False,
